Race_ID,Horse_Name,Jockey,Track,Race_Type,Finish_Position,Race_Time_Seconds,Odds,Age,Weight_lbs
R20250226-067,Fire Spirit,T. Davis,Saratoga,Maiden,6,104.16,8.0,6,124
R20250402-068,Ocean Spray,D. Taylor,Belmont Park,Allowance,8,110.44,39.8,5,120
R20250926-069,Fire Spirit,R. Williams,Keeneland,Allowance,5,99.9,25.5,5,117
R20251104-070,Blue Lightning,A. Thomas,Keeneland,Claiming,11,97.45,14.1,3,117
R20250628-071,Wild Heart,N. Harris,Santa Anita,Handicap,2,122.56,17.2,3,124
R20251013-072,Swift Arrow,N. Harris,Belmont Park,Allowance,3,95.68,18.2,5,123
R20250629-073,Red Baron,T. Davis,Belmont Park,Stakes,12,95.55,15.7,5,116
R20251006-074,Ocean Spray,R. Williams,Fair Grounds,Stakes,3,110.75,18.1,4,119
R20251016-075,Snow Runner,G. Clark,Keeneland,Handicap,10,100.86,21.6,5,123
R20251025-076,Mountain King,M. Johnson,Fair Grounds,Allowance,4,121.9,44.8,3,126
R20250510-077,Lightning Bolt,T. Davis,Churchill Downs,Handicap,7,100.0,26.1,3,128
R20251119-078,Desert Wind,T. Davis,Gulfstream Park,Claiming,9,98.2,7.1,6,123
R20250710-079,Desert Wind,K. Wilson,Belmont Park,Allowance,5,122.65,5.0,4,117
R20250730-080,Brave Knight,C. Anderson,Del Mar,Stakes,10,103.49,16.5,4,124
R20250102-081,Blue Lightning,B. Jackson,Saratoga,Stakes,6,121.72,21.8,2,115
R20250811-082,Blue Lightning,P. Moore,Fair Grounds,Claiming,3,112.54,25.0,5,126
R20250107-083,Midnight Express,M. Johnson,Fair Grounds,Stakes,1,113.77,19.0,3,121
R20251122-084,Midnight Express,G. Clark,Belmont Park,Claiming,2,113.42,48.2,6,119
R20251030-085,Swift Arrow,L. Martinez,Fair Grounds,Stakes,12,122.0,24.6,6,123
R20250518-086,Blue Lightning,L. Martinez,Fair Grounds,Handicap,3,120.8,25.8,3,125
R20250727-087,Desert Wind,K. Wilson,Del Mar,Handicap,2,124.89,5.6,2,122
R20250306-088,Brave Knight,K. Wilson,Fair Grounds,Allowance,11,124.17,12.7,5,124
R20250504-089,Red Baron,G. Clark,Del Mar,Stakes,11,112.38,31.3,7,128
R20251215-090,Fire Spirit,A. Thomas,Keeneland,Claiming,3,115.33,39.4,4,115
R20250803-091,Storm Chaser,G. Clark,Fair Grounds,Maiden,10,116.81,6.7,6,126
R20250210-092,Thunder Strike,T. Davis,Gulfstream Park,Maiden,11,106.25,13.4,6,130
R20250912-093,Dark Horse,M. Johnson,Fair Grounds,Stakes,2,110.6,7.0,8,120
R20251229-094,Swift Arrow,A. Thomas,Del Mar,Maiden,5,106.66,19.7,2,115
R20250916-095,Golden Arrow,R. Williams,Saratoga,Handicap,3,95.64,19.4,7,125
R20250801-096,Lightning Bolt,B. Jackson,Saratoga,Handicap,12,104.35,11.6,6,129
R20250321-097,Thunder Strike,S. Brown,Del Mar,Allowance,2,117.01,45.9,3,122
R20250126-098,Thunder Strike,E. White,Belmont Park,Claiming,3,102.76,44.7,4,126
R20250614-099,Mountain King,P. Moore,Saratoga,Allowance,12,116.68,31.1,5,127
R20251209-100,Wild Heart,N. Harris,Belmont Park,Stakes,1,103.37,17.0,7,118
